unix_timestamp,value
1631728800,57.15
1631732400,55.35
1631736000,58.25
1631739600,62.4
1631743200,70.4
1631746800,66.2
1631750400,60.95
1631754000,68.65
1631757600,71.25
1631761200,66.3
1631764800,68.6
1631768400,71.25
1631772000,66.7
1631775600,63.25
1631779200,63.3
1631782800,64.25
1631786400,68.65
1631790000,77
1631793600,71.85
1631797200,64.05
1631800800,68.75
1631804400,75
1631808000,75.95
1631811600,80.3
1631815200,78.3
1631818800,83.3
1631822400,85.05
1631826000,87.45
1631829600,90.45
1631833200,93.35
1631836800,94.5
1631840400,95.15
1631844000,95.6
1631847600,95.7
1631851200,95.75
1631854800,96.15
1631858400,95.4
1631862000,95.65
1631865600,94.6
1631869200,86.7
1631872800,85.25
1631876400,83.15
1631880000,80.05
1631883600,73.45
1631887200,73.8
1631890800,73.75
1631894400,68.8
1631898000,68.75
1631901600,74
1631905200,75.5
1631908800,77.1
1631912400,85.05
1631916000,87.9
1631919600,89.45
1631923200,91.15
1631926800,92.6
1631930400,93.55
1631934000,94.2
1631937600,94.9
1631941200,95.4
1631944800,90.25
1631948400,79.15
1631952000,74.65
1631955600,70.4
1631959200,71
1631962800,71.6
1631966400,70.1
1631970000,77.4
1631973600,77.75
1631977200,82.3
1631980800,80.7
1631984400,86
1631988000,91.9
1631991600,93.7
1631995200,94.8
1631998800,95.4
1632002400,95.15
1632006000,88.3
1632009600,90.7
1632013200,90.45
1632016800,88.55
1632020400,90.35
1632024000,91.5
1632027600,93.65
1632031200,89.8
1632034800,85.6
1632038400,81.05
1632042000,81.9
1632045600,88.6
1632049200,85.7
1632052800,80.05
1632056400,75.25
1632060000,66.2
1632063600,58.5
1632067200,53.9
1632070800,56.8
1632074400,60.2
1632078000,67.5
1632081600,70.75
1632085200,75.6
1632088800,68.9
1632092400,71.15
1632096000,73.8
1632099600,79.5
1632103200,86.4
1632106800,89.95
1632110400,90.65
1632114000,89.4
1632117600,83.8
1632121200,74.85
1632124800,66.4
1632128400,59.7
1632132000,56.1
1632135600,54.95
1632139200,54.1
1632142800,53.45
1632146400,54.35
1632150000,58.05
1632153600,68.75
1632157200,76.3
1632160800,83.55
1632164400,88.4
1632168000,91.05
1632171600,92.85
1632175200,93.3
1632178800,93.85
1632182400,94.4
1632186000,93.9
1632189600,92.85
1632193200,92.7
1632196800,92.95
1632200400,94.1
1632204000,94.3
1632207600,93.3
1632211200,87.4
1632214800,84.6
1632218400,82.35
1632222000,75.6
1632225600,70.45
1632229200,77.6
1632232800,69.35
1632236400,65.9
1632240000,64.35
1632243600,75.45
1632247200,87.3
1632250800,89.9
1632254400,91.45
1632258000,92.55
1632261600,93.25
1632265200,93.75
1632268800,93.9
1632272400,93.7
1632276000,93.5
1632279600,93.1
1632283200,93
1632286800,92.65
1632290400,87.25
1632294000,79.5
1632297600,72.25
1632301200,68.2
1632304800,63.2
1632308400,59.15
1632312000,58.05
1632315600,55.7
1632319200,56.55
1632322800,60.2
1632326400,63.1
1632330000,68.2
1632333600,82.4
1632337200,87.6
1632340800,88.95
1632344400,90
1632348000,91.55
1632351600,91.95
1632355200,92.1
1632358800,92.05
1632362400,91.55
1632366000,90.6
1632369600,88.3
1632373200,86.1
1632376800,79.3
1632380400,72.65
1632384000,65.8
1632387600,58.95
1632391200,54.05
1632394800,51.3
1632398400,49.4
1632402000,47.6
1632405600,47.3
1632409200,50.1
1632412800,52.6
1632416400,66.35
1632420000,82.45
