time_total_s,status,config__prototype,config__normalization__with_std,config__normalization__with_scaling,config__normalization__with_mean,config__normalization__with_centering,config__normalization__type,config__imputation__type,config__imputation__strategy,config__imputation__initial_strategy,config__imputation__imputation_order,config__features__type,config__features__n_components,config__features__k,config__classification__weights,config__classification__type,config__classification__solver,config__classification__n_neurons,config__classification__n_neighbors,config__classification__n_hidden_layers,config__classification__n_estimators,config__classification__min_samples_split,config__classification__metric,config__classification__max_leaf_nodes,config__classification__max_features,config__classification__max_depth,config__classification__learning_rate,config__classification__criterion,config__classification__bootstrap,config__classification__alpha,config__classification__activation,balanced_accuracy
0.044029951095581055,success,features_imputation_normalization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,uniform,KNeighborsClassifier,,,7,,,,euclidean,,,,,,,,,0.6581349206349206
0.02625417709350586,success,imputation_features_normalization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,distance,KNeighborsClassifier,,,11,,,,euclidean,,,,,,,,,0.7247222222222222
0.04089045524597168,success,normalization_imputation_features_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,distance,KNeighborsClassifier,,,10,,,,euclidean,,,,,,,,,0.7199603174603174
0.03130793571472168,success,imputation_normalization_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,uniform,KNeighborsClassifier,,,8,,,,euclidean,,,,,,,,,0.6903571428571429
0.04481792449951172,success,features_imputation_normalization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,uniform,KNeighborsClassifier,,,12,,,,euclidean,,,,,,,,,0.6828968253968255
0.0237429141998291,success,imputation_normalization_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,distance,KNeighborsClassifier,,,6,,,,euclidean,,,,,,,,,0.723611111111111
0.04499173164367676,success,imputation_features_normalization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,uniform,KNeighborsClassifier,,,8,,,,minkowski,,,,,,,,,0.6903571428571429
0.02654290199279785,success,features_imputation_normalization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,distance,KNeighborsClassifier,,,10,,,,manhattan,,,,,,,,,0.7944841269841268
0.03105020523071289,success,normalization_features_imputation_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,uniform,KNeighborsClassifier,,,8,,,,manhattan,,,,,,,,,0.7368650793650794
1.1664886474609375,success,normalization_imputation_features_classification,False,,True,,StandardScaler,IterativeImputer,,most_frequent,arabic,FunctionTransformer,,,,RandomForestClassifier,,,,,75,5,,4,2,1,,entropy,True,,,0.965079365079365
0.46520543098449707,success,normalization_features_imputation_classification,False,,False,,StandardScaler,IterativeImputer,,constant,arabic,FunctionTransformer,,,,RandomForestClassifier,,,,,25,4,,5,1,4,,gini,False,,,0.9896825396825397
1.156959056854248,success,normalization_imputation_features_classification,False,,True,,StandardScaler,IterativeImputer,,most_frequent,arabic,FunctionTransformer,,,,RandomForestClassifier,,,,,100,4,,5,2,2,,entropy,False,,,0.9857142857142858
